,id,public_metrics,text,author_id,name,username
0,1468252435479248904,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",i like how i just replaced every pedal on my pedalboard for fun basically,143667116,eric,amplifierwrship
1,1468251943718072321,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",G&amp;LTribute Series Legacy 3-Color Sunburst w/ Rosewood Fretboard 2010s Tobacco Sunburst | Victory Guitar Shop | Reverb https://t.co/jSZAUqz116 #gandlguitars #guitar #guitarist #rock #music #guitarplayer #blues #guitarsolo #metal #bass #solo #fusion #guitarra #art #hardrock #video https://t.co/n0A31bE9cl,23589319,Paul Guerra,chimaira
2,1468251865473175553,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",It's Beginning To Look A Lot Like Christmas Guitar Lesson + Tutorial https://t.co/J5s8Dmowaa via @YouTube,28061724,Marty Schwartz,MartySchwartz
3,1468251206103535617,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}","@whiskeymama7 thx 4 the RT!✌️

#bluesguitar #Bluesrock #livemusic #music #guitar #fender #stratocaster #strat #indie #indiemusic #GuitarRiffs #guitars #guitarsolo #musicislife #musicismylife #newmusic #originalmusic #originalsong #rockmusic #rocknroll #srv #JimiHendrix #LarkinPoe",24426431,Jay Trainer Band,jaytrainerband
4,1468250699037356032,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Check out this G&amp;L Tribute Series ASAT Classic Bluesboy Semi-Hollow with Maple Fretboard on Reverb https://t.co/Nxym919l0Z via @reverb #gandlguitars #guitar #guitarist #rock #music #guitarplayer #blues #guitarsolo #metal #bass #solo #fusion #guitarra #art #hardrock #video #class,23589319,Paul Guerra,chimaira
5,1468250664262373378,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Journey - TEST - Stone In Love - Dean Thoroughbred X-QM https://t.co/TaVghDve2R via @YouTube #Journey #ClassicRock #NealSchon #music #musician #guitar #guitarist #DeanGuitars #electricguitar #Eighties @JourneyOfficial @DeanGuitars @NealSchonMusic,2541516320,Axe2084,Axe2084
6,1468250568342872078,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Check out this G&amp;L Tribute SB-2 electric bass White, Satin neck with rosewood fingerboard on Reverb https://t.co/uVet5OLJ8p via @reverb #gandlguitars #guitar #guitarist #rock #music #guitarplayer #blues #guitarsolo #metal #bass #solo #fusion #guitarra #art #hardrock #video",23589319,Paul Guerra,chimaira
7,1468250461530697730,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","It's not too late! 
Please vote for us! https://t.co/zP1a2WEs7S
1. Click the link to reach the Best of Long Island contest page
2. Scroll down to Scott Russ Music and Click VOTE
Thank's for your support!
#Boli #musicalinstrumentstore #music #musicalinstrument #musician #guitar https://t.co/0G05TH5qiM",2525248256,Scott Russ Music,ScottRussMusic
8,1468250260992671752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Check out this G&amp;L Limited Edition Tribute ASAT Classic Bluesboy Mint Green on Reverb https://t.co/r2U9RDaTRa via @reverb #gandlguitars #guitar #guitarist #rock #music #guitarplayer #blues #guitarsolo #metal #bass #solo #fusion #guitarra #art #hardrock #video #classicrock,23589319,Paul Guerra,chimaira
9,1468250188968075268,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@HenriksenAmps Are Back In Stock and Shipping, Order Yours Before They Sell Out Again! 👏👏👏👏👏👏

✅VIEW AMP &gt;&gt;&gt; https://t.co/KqVCJNtqTF

#ad #jazzguitartoday #jazzguitar #jazz #electricguitar #guitar #hollowbody #hollowbodyguitar #guitaramp #HenriksenAmps https://t.co/YlcO8XyGaJ",1032684409755852800,jazzguitartoday,jazzguitartoday
