,id,public_metrics,text,author_id,name,username
0,1468265015127908352,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Guitar Center is advertising “stocking stuffers” in the form of Fender Telecasters for $2499.00. People have too damn much money.,536708293,Mark Mason,MarkRainycity
1,1468264988301086726,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",so strange seeing her drummer playing the guitar and not rocking out,1410927462725275648,ands wants to see gracelivia live,livieloobelle
2,1468264461484306432,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Jooyeon was shown playing the bass,followed by https://t.co/uk8Tr53YvY playing the synthesizer on November 23,Gaon playing the electric guitar on Nov24,

Jun Han playing the electric guitar on Nov25,and Jungsu playing the keyboard on Nov26,and Gunil playing the drums on Nov27.[8]",1468214293229613059,hhjun | i need XH moots🤌,xtradailyheroes
3,1468264226070446082,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ESP LTD EC-256 FM with Rosewood Fretboard 2016 Dark Brown Sunburst | Victory Guitar Shop | Reverb https://t.co/BxGsXyjhwh #acoustic #drums #guitarsarebetter #blues #guitarplayers #instaguitar #musica #guitarras #stratocaster #lespaul #riffwars #gitar #guitarstagram #guitare https://t.co/18dM4F5lUZ,23589319,Paul Guerra,chimaira
4,1468264156457488389,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","In this guitar lesson, learn how to develop good picking technique. This lesson is for those that are new to playing guitar and Gary will show you how to play with a pick correctly. https://t.co/uwZzu2QqP6",25418839,🎸 Guitar Tricks 🎶,GuitarTricks
5,1468264049854976006,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Learn to play Electric Guitar at Music academy. Book online at https://t.co/gcxo8gm29d
 #music #musiclessons #tameside #motivation #business #musician #musicislife #musical #musiclessons #neverstoplearning #keepgoing #learntoday #lessons #learning #Stalybridge #Cheshire https://t.co/SYYwB5Ggbq",1177512321351962630,Stalybridge Music Academy,StalybridgeMus1
6,1468263877787934722,"{'retweet_count': 38, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @GuitarWorld: Learn Randy Rhoads' warm-up exercises and more in this complete 1982 guitar clinic https://t.co/AayDhwMVzZ https://t.co/1v…,1446291373712363520,Filip Kotur,FilipKotur
7,1468263328107671555,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Premium 26 PC. Guitar Tech Screwdriver &amp; Wrench Set MN229 #eBay🇺🇸 #MusicalInstruments https://t.co/V78oTwvUDG,722997779178487810,SA - Musical Instruments and Gear,SAMusicalPro
8,1468263294649597955,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Mark Tremonti on finding the right guitar, the economics of Dumble amps and the Goldtop that got away https://t.co/95BHCBPvqm via @GuitarWorld",1172627974958518272,"Feet in sand, Guitar in hand",BeachGuitar1
9,1468263294460907525,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","🍄$800.00 OFF🍄

$4799.00 (reg $5599.00)

Gibson Custom 57 Les Paul Standard VOS Electric Guitar

https://t.co/4AyyjaOt8W https://t.co/hukHnd2kh9",1290418582111891456,Six String Deals 🎸,SixStringDeals
