,id,public_metrics,text,author_id,name,username
0,1468436277318017031,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Anonymous Picture II - Aldo Marchand

#rock #blues #metal #fusion #composer #music #guitar #guitarra #improvisation #jazzguitar #spotify https://t.co/Z1yStKLwgf",185041267,Aldo Bruno Marchand,aldobrunomarcha
1,1468436211639459845,"{'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @GuitarWorld: Megadeth's new album The Sick, the Dying and the Dead is “super-close” to being released, Dave Mustaine says https://t.co/…",1033774179601063936,Omar casas Muñoz,OmarcasasMuoz5
2,1468436205108932608,"{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @ayytrae: LIVE NOW with Christmas decor for a cozy Tuesday stream of Skyrim, guitar, &amp; nerd news💫 

Come hang out!
https://t.co/OsA53rhY…",937526708302905346,Brandon E Bolhuis,BrandonEbolhuis
3,1468436117942939648,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @julienhicks_: Picked up my new guitar today, handmade in Hope, B.C. Highways to Hope have been closed due to flooding, so I met the sel…",945004297607053312,Yatzary,yatzary_espino
4,1468436018042847233,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@bokbokhan According to your logic, I am very worried about guitars and pianos hundreds of years from now, because these instruments are used by Koreans. After hundreds of years, they will all become traditional Korean instruments and be written in Korean elementary school textbooks.",1410894236451446784,星辰大海,Sherika04635324
5,1468435992894140417,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @Xboxthusiast: Rock Band 4 Wireless Fender Jaguar #Xbox One Blue Guitar Controller Model 048-074 #eBay #UnitedStates #Auction #Xboxthusi…,1387320824659517440,alicia,rizeshield
6,1468435774450372613,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @NC5: Gibson honors Pearl Harbor anniversary by donating 50 guitars to veterans nonprofit
https://t.co/nhi8ZqCRvB",64289567,Nancy Cahalan,mamacee7
7,1468435549304328200,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}","Gibson honors Pearl Harbor anniversary by donating 50 guitars to veterans nonprofit
https://t.co/nhi8ZqCRvB",14838173,NewsChannel 5,NC5
8,1468435375383269376,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",MT @AbbieCadabi Guitar may be a cruel mistress but my #violin is a jealous wife.. . . https://t.co/pfyHAzcuat,18871875,darkviolin,darkviolin
9,1468435282470916098,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","God I feel like such a shithead. Today I was at my guitar lesson, and I had to go to the bathroom real bad... I go to the bathroom and a Cthulhu sized shit comes out my anus and I used so much TP I clogged the damn toilet. Am I an asshole?",1379619590901141504,Stephen? Lowrie? #longlivetherepublic,Mccummiefuccof
