,id,public_metrics,text,author_id,name,username
0,1466426687915278336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Starting ""Kukusa Guitars Project."" The neck needs elaboration so it's unknown to do it. Pickup is P-90. I'm doing a design that is neither Gibson nor Fender. Wood is depleted in everywhere, so let's reuse garden trees. What kind of guitar'll be completed:-) First of all, wood.",737577108348633088,DOUGH KUKUSA,fairnessring2
1,1466426174062608402,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@landofthe80s Great movie. The soundtrack too especially the guitar serenade. Mel Gibson son was hilarious, same demeanor as Gibson",2554797067,MaidentheUSA,MaidentheUSA1
2,1466426056114675728,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}","To prove that I'm down with the kids... here's my profile at @TikTok

https://t.co/GDlt7E4vh7

#tiktok #video #livestream #acoustic #guitar #acousticguitar #fingerpicking #fingerstyle #sverige #nature #forest #beauty",832548120038928385,Jon Magnusson | Georg Nielsen & Beyond the Seasons,jonmagnussonof
3,1466425603935150084,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",never loose a pick  -  30 Pieces in Case !!!!  #music #guitar #plectrums #electricguitar #guitarist #acousticguitar #musician #Guitarplayer #Guitarsolo #Fingerstyle #Chords #Strum #StringInstrument #Guitarrist  see  https://t.co/Dt8cUlximG https://t.co/fcMPHbnvZe,1870887362,Wildlife Ranger,wildlife_ranger
4,1466425004443287555,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@HAIMtheband @Fender @Harrify97 want to start a band?,1451153845808214020,maya 🌿❄️🧣,sci_swiftie
5,1466424205919068174,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",15 Blues Guitar Licks For Beginners In The Genre  #bluesguitar #guitarlicks https://t.co/EcDfxEqIh0,14897745,Robert Callus,bertucallus
6,1466424197631160335,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","SOUND  ON: know guitar technique always looks weird when you watch it, but I am OBSESSED with whatever John is doing on the ""Get Back"" intro 🎸👇 https://t.co/jdg07fUeMB",266807626,Nathaniel Woodward (Deluxe Edition),stubhubby
7,1466423767622684691,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@HAIMtheband @Fender i'm begging you please @solarheroine,1382086544,deniz,dcantproveit
8,1466422606807060495,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@ginrei_mudhoney You're welcome Genrei 😊 and good evening🌙. 
Today is all about work for me.Not much else is going on today. I hope your teeth are already healing. Have fun practicing guitar.🎸🎶Please take care. 💞",1125895252328448001,path_of_the-ether,McwhorterAngus
9,1466422008397377552,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 18, 'quote_count': 0}","Looking for that special guitar for Christmas? Limited edition Fender American Ultra in plum metallic. 💎 https://t.co/jX5LtAFhRm

A few specs...
Ultra Noiseless Pickups 👂 
S-1 Switching - more pickup combinations 🎵
Compound radius fingerboard 👌 
Deluxe locking tuners 🔒 https://t.co/aAFv7fYbTF",24703701,Andertons Music Co.,andertonsmusic
10,1466421907180322816,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Learn to play Guitar at Music academy. Book online at https://t.co/gcxo8gm29d
 #music #musiclessons #tameside #motivation #business #musician #musicislife #musical #musiclessons #neverstoplearning #keepgoing #learntoday #lessons #learning #Stalybridge #Cheshire https://t.co/0h7yzaPl3F",1177512321351962630,Stalybridge Music Academy,StalybridgeMus1
11,1466420978158866452,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Going to attempt to build a guitar effects pedal board today.,16461643,Troy Date,TroyDate
12,1466420898332819466,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 50, 'quote_count': 2}",MXR crams Tom Morello’s iconic amp tones into a pedal with the Power 50 Overdrive https://t.co/XDvo2HsaKj https://t.co/UV9RNIAwYH,23439801,Guitar World,GuitarWorld
13,1466420718074314765,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","I'm an unapologetic “Boomer Bender“ &amp; proud of it!!
Looking for the perfect holiday gift for a guitar player? Get yours today!
https://t.co/2EanNhSMx1
#boomerbender #guitars #guitarplayer #ifyouknowyouknow https://t.co/arYAS0wKHY",1455828507393658880,Sean Earley Beats,seanearleybeats
14,1466419935828226062,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@arcadiancatlady @HAIMtheband @Fender WE'RE GONNA ROCK IT,514444150,Ghoul,noneloost
15,1466419523809075212,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@noneloost @HAIMtheband @Fender I better start rehearsing 🤣,1320466460574179331,Ella 🍅,arcadiancatlady
16,1466419380917526528,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@_davidsonc @HAIMtheband @Fender @lowerthancallum @LinziBaxter Still percussion 🌚,87452654,rach,rachel__welsh
17,1466419282485600276,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",That cavatina from deer hunter was like years of classical guitar practice like growing the horns of a live buck .  That scene where deniro returns a decorated Vietnam veteran and meryl streep slams the glass window pane door right during the cadence is as if one ho nite worth it,1114911904877748226,jwookie2,bangchihuahua
18,1466418641558290442,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","💸75% OFF💸

$4.99 (reg $19.99)

Perri's Leather Guitar Strap

#guitargear

https://t.co/KQwDLtg8di https://t.co/EhL4OrMrbG",1290418582111891456,Six String Deals 🎸,SixStringDeals
19,1466418383746912278,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",🎸 Jeff McErlain's Blues Soloing For Beginners 1 - Intro - Guitar Lessons - https://t.co/IR0GDyzNjK #guitartabs #music #folkguitar #guitarlicks #guitarlesson #tablature #blues #learnguitar #pop,1006371760575479808,Angelo Austin,AngeloA08076910
20,1466417915864006656,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",The F# Aiolian b5 Mode (7 Positions) – Guitar Scales and Modes Series – Free Video Lesson https://t.co/m2UUQ6aDlu,17765935,Theodore Kalantzakos,kalantzakos
21,1466416185902346240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","We've got to say, we love all guitars great and small - but the classic 6-string always knows how to get us inspired! 😍

#gear4music #guitargear #guitars #guitarist https://t.co/JoGr3jCzaw",19333208,Gear4music,gear4music
22,1466416035523960840,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","Ragtime for Classical Guitar (MIDI demo) - Marimo Sugahara, Blueridge Mountain Side - Lullaby - One of These Days　https://t.co/MHVEbVmEjl via @YouTube 
#ragtime #classicalguitar #sheetmusic #ラグタイム #クラシックギター #楽譜",1153693034292371457,Marimo Sugahara,MarimoSugahara
23,1466415755134709774,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Did you know Fender Custom Shop make some incredible bass guitars?

These two modelled after '61 Jazz Basses have serious vibe!

Shop here: https://t.co/JUTw7CeYVg https://t.co/kovEM43LQH",62482729,GAK.co.uk,GAK_CO_UK
